Name,Street_Address,City,State,ZIP,Full_Address,Hours,Website,Description,Source_URL
Limestone Terrace Vineyard,"113 E Park St, Ste 300",Fredericksburg,Texas,78624,"113 E Park St, Ste 300, Fredericksburg, Texas 78624",HOURS: Thur-Mon 11-5:30,http://www.limestoneterrace.com/,"Limestone Terrace Vineyard is just a short distance off Main Street in downtown Fredericksburg. We craft bold, Mediterranean-style wines from 100% Texas- grown grapes sourced from both the Hill Country and High Plains. Visit our shared tasting room with Buli Wines of Tuscany for a one-of-a-kind experience that blends Tuscan charm with Texas grit.",https://texashillcountrywineries.org/pages/winery-listing-page
Longhorn Cellars,315 Farm to Market 1376,Fredericksburg,Texas,78624,"315 Farm to Market 1376, Fredericksburg, Texas 78624","HOURS: Mon-Thur 12-4:30, Fri 11-5:30, Sat 10-6, Sun 11-5",http://www.longhorncellars.com/,"Longhorn Cellars is a boutique winery featuring wines produced and vinted in the Texas Hill Country. Order wines by the glass and enjoy our nice patio seating or lounge comfortably in our spacious, ranch inspired tasting room. Visit Brix and Tannins, our 2 Longhorn mascots. Come relax and stay awhile!",https://texashillcountrywineries.org/pages/winery-listing-page
Lost Draw Wines,1686 US-29,Johnson City,Texas,78636,"1686 US-29, Johnson City, Texas 78636","Mon - Wed: 12-5PM, Thur - Sun: 10am-6pm",https://lostdrawcellars.com/,"Lost Draw is a fully integrated vineyard and winery operation that prides itself in a farming first approach to all aspects of production. We are committed to farming our own grapes to ensure we consistently produce the highest quality Texas-grown wines. Visit us for an educational wine tasting, an elevated food & wine pairing, or for one of our signature events held at our beautiful estate throughout the year.",https://texashillcountrywineries.org/pages/winery-listing-page
Meierstone Vineyards,573 Meier-Stone Rd,Stonewall,Texas,78671,"573 Meier-Stone Rd, Stonewall, Texas 78671","HOURS: Thur-Fri 1-5, Sat-Sun 11-5",http://www.meierstonevineyards.com/,"Meierstone Vineyards is a boutique, family-owned winery with elevated wine and deep historical roots. The tasting room resides on the fifth generation, 555-acre working Meierstone Farm & Ranch between Stonewall and Hye. With 100% Texas grapes, female winemaker and granddaughter, Krystal, creates premium, small-batch wines with every vintage. Voted “TOP TEXAS WINE” - 2024 Houston International Wine Competition.",https://texashillcountrywineries.org/pages/winery-listing-page
Messina Hof Hill Country Winery,9996 US-290,Fredericksburg,Texas,78624,"9996 US-290, Fredericksburg, Texas 78624",HOURS: Tue-Sun 12-6,https://www.messinahof.com/hill-country-fredericksburg/,"Exceptional Texas wine from the most awarded winery in Texas. Messina Hof Hill Country Winery is the perfect stop to relax in beautiful Hill Country. Featuring a vineyard, spacious tasting room, covered patios, and the largest portfolio of premium Texas wines, we welcome you to visit and Join the Family™. Stay overnight in our B&B, savor light bites, and drink wine with Texas soul.",https://texashillcountrywineries.org/pages/winery-listing-page
Michael Ros Winery,982 Old San Antonio Rd,Fredericksburg,Texas,78624,"982 Old San Antonio Rd, Fredericksburg, Texas 78624","HOURS: Thurs 12-7pm, Fri-Sat 11-6pm, Sun 12-5pm",https://michaelroswinery.com/,"Michael Ros Winery is a family-owned boutique winery dedicated to crafting high quality 100% Texas wine. Our tasting room, located just 1 mile off Hwy 290 on 38 scenic acres, offers a peaceful escape from the hustle and bustle. Surrounded by nature, our uniquely designed space enhances the ambiance, and our award-winning wines make every visit a truly memorable experience.",https://texashillcountrywineries.org/pages/winery-listing-page
Narrow Path Winery,6331 Ranch Rd 1623,Stonewall,Texas,78671,"6331 Ranch Rd 1623, Stonewall, Texas 78671","HOURS: Thur-Fri 11-5:30, Sun 12-5:30, Mon 11-5:30",http://narrowpathwinery.com/,Narrow Path Winery and Vineyard is nestled in the hills above the Williams Creek Valley set away from the hurried pace of the 290 Wine Road. Come take the time to enjoy award winning wines and spectacular views. Traditionally styled wines are contrasted with a beautiful modern tasting room with views of our vineyard and the rural backdrop of the Texas Hill Country.,https://texashillcountrywineries.org/pages/winery-listing-page
Pebble Rock Cellars,506 US 281,Johnson City,Texas,78636,"506 US 281, Johnson City, Texas 78636","HOURS: Sat 11-5pm, Sun 12-5pm. Tastings by appointment only. Will accept walk-ins if space available.",https://pebblerockcellars.wine,"Discover our quaint tasting room hidden in plain sight in Johnson City. We offer an intimate and welcoming wine tasting experience, whether you're a seasoned connoisseur or just beginning your wine journey. Tastings last an hour to an hour and fifteen minutes and include an interactive educational experience.  Reservations are highly recommended, and we look forward to seeing you soon.",https://texashillcountrywineries.org/pages/winery-listing-page
Pedernales Cellars,2916 Upper Albert Rd,Stonewall,Texas,78671,"2916 Upper Albert Rd, Stonewall, Texas 78671","HOURS: Mon-Thu 10-5 ,Fri-Sat 10-6, Sun 12-5",http://www.pedernalescellars.com/,"Celebrating a 30-year grape growing tradition, Pedernales Cellars is committed to providing visitors with an exceptional, wine country experience. Enjoy the panoramic views from our inviting tree lined deck, while sipping wines crafted with a sustainable focus on the land. Owned and operated by sixth generation Texans, Pedernales Cellars welcomes you to visit and enjoy, Seriously. Texas Wine.",https://texashillcountrywineries.org/pages/winery-listing-page
Pontotoc Vineyard Picnic Table,7899 US Hwy 290,Hye,Texas,78635,"7899 US Hwy 290, Hye, Texas 78635","HOURS: Fri-Sat 11-5, Sun 12-5",http://pontotocvineyard.com/,100% TEXAS HILL COUNTRY WINE: Picnic Table is housed in a refurbished 1940s gas station amidst a stand of live oaks on the Texas Wine Trail and provides a roadside park setting for sharing a picnic of homemade food and local wine. Our mission is to make vintage wines of exceptional quality from grapes grown solely in the Texas Hill Country. We are a fifth generation Texas farming family and take great pride in bringing the fruit of our labor to your table.,https://texashillcountrywineries.org/pages/winery-listing-page
Portree Cellars,668 RR 1320,Johnson City,Texas,78624,"668 RR 1320, Johnson City, Texas 78624","HOURS: Mon 11-5pm, Fri-Sat 11-6, Thur & Sun 12-5",https://www.portreecellars.com,"Enjoy breathtaking panoramic views of the hill country and our vineyards while relaxing with a glass of Portree Cellars wine in the comfort of our modern and inviting tasting room. Our boutique family-owned winery aims to please with award-winning wines made from grapes across the state. Enjoy the artistic vibe, some light food and a game of bocce. Dogs welcome on leash on our outdoor patios. 100% Texas, All the Time.",https://texashillcountrywineries.org/pages/winery-listing-page
Saint Tryphon Farm & Vineyards,24 Wasp Creek Rd,Boerne,Texas,78006,"24 Wasp Creek Rd, Boerne, Texas 78006",HOURS: Thur - Sun 1-6,http://www.sainttryphon.com/,"REAL. TEXAS. WINE. Saint Tryphon, patron of grape growers & gardeners lived in the 3rd century. At his namesake vineyard & winery we strive to honor his patronage in field & cellar. Our goal: place & pleasure from 100% Texas grapes. Our estate vineyard & tasting room are located south of Sisterdale & north of Boerne on 1376. 2019 San Antonio Express-news Top 100 Dining & Drinks: 2018 San Antonio Express-News Top 3 Texas Winery.",https://texashillcountrywineries.org/pages/winery-listing-page
Siboney Cellars,3427 W US-290,Johnson City,Texas,78636,"3427 W US-290, Johnson City, Texas 78636","HOURS: Mon 12-5pm, Closed Tue-Wed, Thur 11-8pm, Fri-Sun 11-6pm",https://SiboneyCellars.com,"A modern hillside winery overlooks the terraced estate vineyard. Every seat offers commanding Hill Country views. An All-Texas wine portfolio, by Barbara Lecuona, is the heart of a culinary-wine-cigar Culture Vibe unlike any other. Siboney. Just You Wait! Founded in 2017 by Miguel and Barbara Lecuona, and later joined by partners Bill and Mary Anne Waldrip, Siboney built a beautiful production and tasting facility, with estate vineyards, in 2021. Located 4 miles west of Johnson City on US Highway 290, Siboney creates and sells a critically acclaimed portfolio of 100% Texas Wines on site through tastings, wine clubs and  distributed through an elite restaurant list. The energetic calendar of events offers the some of the most unique culinary, cultural, and casual experiences in the Hill Country.  Siboney joined the THCW in May, 2025.",https://texashillcountrywineries.org/pages/winery-listing-page
Signor Vineyards,362 Livesay Lane,Fredericksburg,Texas,78624,"362 Livesay Lane, Fredericksburg, Texas 78624","HOURS: 7 days/week. Sun-Thur 12-5pm, Fri-Sat 11-6pm.",https://www.signorvineyards.com/,"The Signors are a family of farmers, ranchers, and horticulturalists with a long history of working Texas lands. Signor Vineyards carries on that tradition in the Texas Hill Country, cultivating an appreciation of Texas agriculture for generations to come. Founded in 2015 with our first seven varietals planted, we’ve continued to craft Texas wines and now expanding into a second vineyard in a new AVA—Fort Davis, Texas. Signor offers seated tastings, glass and bottle service on our scenic great lawn, along with gourmet sandwiches and curated home goods at Joanna's Market. Visit us at our main vineyard or at our downtown Fredericksburg location on Orange Street for an elevated experience—or simply to enjoy a great glass of wine.",https://texashillcountrywineries.org/pages/winery-listing-page
